year,gnis_id,geometry,metadata,number_of_records,parkname,region,state,unit_code,unit_name,unit_type,visitors,year_state_pop,pop,_art_year
1904,1163670,POLYGON,,1,Crater Lake,PW,OR,CRLA,Crater Lake National Park,National Park,1500.0,1900.0,415000.0,1904
1941,1531834,MULTIPOLYGON,,1,Lake Roosevelt,PW,WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,0.0,1900.0,523000.0,1941
1982,277263,POLYGON,,1,Santa Monica Mountains,PW,CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,468144.0,1900.0,1490000.0,1982
1919,578853,MULTIPOLYGON,,1,,NE,ME,ACAD,Acadia National Park,National Park,64000.0,1900.0,695000.0,1919
1969,1329499,MULTIPOLYGON,,1,,IM,TX,AMIS,Amistad National Recreation Area,National Recreation Area,448000.0,1900.0,3055000.0,1969
1967,589056,POLYGON,,1,,NE,MD,ASIS,Assateague Island National Seashore,National Seashore,738700.0,1900.0,1189000.0,1967
1989,302659,POLYGON,,1,,SE,FL,BICY,Big Cypress National Preserve,National Preserve,81157.0,1900.0,530000.0,1989
1988,1309762,MULTIPOLYGON,,1,,SE,TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,613011.0,1900.0,2023000.0,1988
1941,1009494,MULTIPOLYGON,,1,,NT,NC,BLRI,Blue Ridge Parkway,Parkway,895874.0,1900.0,1897000.0,1941
1993,1877617,POLYGON,,1,,NE,WV,BLUE,Bluestone National Scenic River,National Scenic River,51848.0,1900.0,959000.0,1993
1980,1688073,POLYGON,,1,,SE,GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,345956.0,1900.0,2220000.0,1980
1951,583731,MULTIPOLYGON,,1,,NC,DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,32512.0,1900.0,278000.0,1951
1925,1986829,MULTIPOLYGON,,1,,PW,ID,CRMO,Craters of the Moon National Monument,National Monument,3349.0,1900.0,163000.0,1925
1969,1193711,POLYGON,,1,,NE,PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,666300.0,1900.0,6313000.0,1969
1988,1888913,MULTIPOLYGON,,1,,IM,NM,ELMA,El Malpais National Monument,National Monument,23546.0,1900.0,196000.0,1988
1967,970121,MULTIPOLYGON,,1,,NE,NY,FIIS,Fire Island National Seashore,National Seashore,417300.0,1900.0,7283000.0,1967
1940,1616980,POLYGON,,1,,MW,MI,ISRO,Isle Royale National Park,National Park,2962.0,1900.0,2423000.0,1940
1979,1888940,MULTIPOLYGON,,1,,NE,MA,LOWE,Lowell National Historical Park,National Historical Park,92839.0,1900.0,2788000.0,1979
2011,1888944,POLYGON,,1,,MW,MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area,99398.0,1900.0,1754000.0,2011
2004,2733411,MULTIPOLYGON,,1,,MW,SD,MNRR,Missouri National Recreation River,National Recreation River,48149.0,1900.0,403000.0,2004
1984,1877618,POLYGON,,1,,NE,VA,NERI,New River Gorge National River,National River,231295.0,1900.0,1858000.0,1984
1979,1879024,MULTIPOLYGON,,1,,SE,PR,SAJU,San Juan National Historic Site,National Historic Site,1458778.0,,,1979
1934,1270094,MULTIPOLYGON,,1,,SE,MS,SHIL,Shiloh National Battlefield,National Battlefield,50000.0,1900.0,1553000.0,1934
1934,679217,MULTIPOLYGON,,1,,SE,LA,VICK,Vicksburg National Military Park,National Military Park,216000.0,1900.0,1384000.0,1934
1934,203271,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BLCA_metadata.xml,1,Black Canyon of the Gunnison,IM,CO,BLCA,Black Canyon of the Gunnison National Park,National Park,2592.0,1900.0,543000.0,1934
1941,806297,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/LIBI_metadata.xml,1,Little Bighorn Battlefield,IM,MT,LIBI,Little Bighorn Battlefield National Monument,National Monument,67953.0,1900.0,245000.0,1941
1969,1888916,POLYGON,http://nrdata.nps.gov/programs/Lands/FOBO_metadata.xml,1,Fort Bowie,IM,AZ,FOBO,Fort Bowie National Historic Site,National Historic Site,800.0,1900.0,124000.0,1969
1941,830099,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/HOME_metadata.xml,1,Homestead,MW,NE,HOME,Homestead National Monument of America,National Monument,1400.0,1900.0,1067000.0,1941
1934,1446610,POLYGON,http://nrdata.nps.gov/programs/Lands/TICA_metadata.xml,1,Timpanogos Cave,IM,UT,TICA,Timpanogos Cave National Monument,National Monument,5074.0,1900.0,277000.0,1934
1957,490476,POLYGON,http://nrdata.nps.gov/programs/Lands/CUGA_metadata.xml,1,Cumberland Gap,SE,KY,CUGA,Cumberland Gap National Historical Park,National Historical Park,25300.0,1900.0,2148000.0,1957
1941,1222505,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOSU_metadata.xml,1,Fort Sumter,SE,SC,FOSU,Fort Sumter National Monument,National Monument,0.0,1900.0,1342000.0,1941
1962,1613756,POLYGON,http://nrdata.nps.gov/programs/Lands/BUIS_metadata.xml,1,Buck Island Reef,SE,VI,BUIS,Buck Island Reef National Monument,National Monument,6600.0,,,1962
2004,2510335,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/BRVB_metadata.xml,1,Brown v. Board of Education,MW,KS,BRVB,Brown v. Board of Education National Historic Site,National Historic Site,22101.0,1900.0,1473000.0,2004
1964,56686,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/FOSM_metadata.xml,1,Fort Smith,MW,AR,FOSM,Fort Smith National Historic Site,National Historic Site,39800.0,1900.0,1314000.0,1964
1950,1101907,POLYGON,http://nrdata.nps.gov/programs/Lands/CHIC_metadata.xml,1,Chickasaw,IM,OK,CHIC,Chickasaw National Recreation Area,National Recreation Area,1291828.0,1900.0,800000.0,1950
1973,1605065,POLYGON,http://nrdata.nps.gov/programs/Lands/FOBU_metadata.xml,1,Fossil Butte,IM,WY,FOBU,Fossil Butte National Monument,National Monument,1000.0,1900.0,93000.0,1973
1950,456249,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/EFMO_metadata.xml,1,Effigy Mounds,MW,IA,EFMO,Effigy Mounds National Monument,National Monument,736.0,1900.0,2231000.0,1950
1972,1821086,POLYGON,http://nrdata.nps.gov/programs/Lands/LIHO_metadata.xml,1,Lincoln Home,MW,IL,LIHO,Lincoln Home National Historic Site,National Historic Site,76632.0,1900.0,4828000.0,1972
1941,718402,POLYGON,http://nrdata.nps.gov/programs/Lands/GWCA_metadata.xml,1,George Washington Carver,MW,MO,GWCA,George Washington Carver National Monument,National Monument,0.0,1900.0,3108000.0,1941
1956,874901,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/EDIS_metadata.xml,1,Edison,NE,NJ,EDIS,Thomas Edison National Historical Park,National Historic Site,5700.0,1900.0,1884000.0,1956
1921,365210,POLYGON,http://nrdata.nps.gov/programs/Lands/HAVO_metadata.xml,1,Hawai'i Volcanoes,PW,HI,HAVO,Hawai'i Volcanoes National Park,National Park,16071.0,1900.0,,1921
2003,2492338,POLYGON,http://nrdata.nps.gov/programs/Lands/TUAI_metadata.xml,1,Tuskegee Airmen,SE,AL,TUAI,Tuskegee Airmen National Historic Site,National Historic Site,11085.0,1900.0,1830000.0,2003
1934,862430,POLYGON,http://nrdata.nps.gov/programs/Lands/GRBA_metadata.xml,1,Great Basin,PW,NV,GRBA,Great Basin National Park,National Park,1968.0,1900.0,43000.0,1934
1972,1888973,POLYGON,http://nrdata.nps.gov/programs/Lands/WIHO_metadata.xml,1,William Howard Taft,MW,OH,WIHO,William Howard Taft National Historic Site,National Historic Site,588.0,1900.0,4161000.0,1972
1968,1888960,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/SAGA_metadata.xml,1,Saint-Gaudens,NE,NH,SAGA,Saint-Gaudens National Historic Site,National Historic Site,6200.0,1900.0,412000.0,1968
1968,447197,POLYGON,http://nrdata.nps.gov/programs/Lands/GERO_metadata.xml,1,George Rogers Clark,MW,IN,GERO,George Rogers Clark National Historical Park,National Historical Park,58700.0,1900.0,2518000.0,1968
1981,1888938,POLYGON,http://nrdata.nps.gov/programs/Lands/KNRI_metadata.xml,1,Knife River Indian Villages,MW,ND,KNRI,Knife River Indian Villages National Historic Site,National Historic Site,4616.0,1900.0,321000.0,1981
1998,1888942,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/MABI_metadata.xml,1,Marsh-Billings-Rockefeller,NE,VT,MABI,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,22652.0,1900.0,344000.0,1998
1979,1904107,POLYGON,http://nrdata.nps.gov/programs/Lands/ROWI_metadata.xml,1,Roger Williams,NE,RI,ROWI,Roger Williams National Memorial,National Memorial,27788.0,1900.0,430000.0,1979
1985,1828962,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WAPA_METADATA.xml,1,War in the Pacific,PW,GU,WAPA,War in the Pacific National Historical Park,War in the Pacific,8623.0,,,1985
1973,1581059,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/APIS_metadata.xml,1,Apostle Islands,MW,WI,APIS,Apostle Islands National Lakeshore,National Lakeshore,12200.0,1900.0,2072000.0,1973
1993,1888972,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/WEFA_metadata.xml,1,Weir Farm,NE,CT,WEFA,Weir Farm National Historic Site,National Historic Site,4885.0,1900.0,910000.0,1993
1989,1416034,POLYGON,http://nrdata.nps.gov/programs/Lands/ANIA_metadata.xml,1,Aniakchak,AK,AK,ANIA,Aniakchak National Monument,National Monument,853.0,1900.0,,1989
2002,1966567,MULTIPOLYGON,http://nrdata.nps.gov/programs/Lands/NPSA_METADATA.xml,1,National Park of American Samoa,PW,AS,NPSA,National Park of American Samoa,National Park,1938.0,,,2002
