gamename,year,month,avg,gain,peak,avg_peak_perc,gamename_month_r,year_month_r,avg_month_r,gain_month_r,peak_month_r,avg_peak_perc_month_r,_art_year
Counter-Strike: Global Offensive,2021,February,741013.24,-2196.42,1123485,65.9567%,Counter-Strike: Global Offensive,2021,741013.24,-2196.42,1123485,65.9567%,2021
Counter-Strike: Global Offensive,2021,January,743209.66,25405.91,1124553,66.0893%,Counter-Strike: Global Offensive,2021,743209.66,25405.91,1124553,66.0893%,2021
Counter-Strike: Global Offensive,2020,December,717803.75,49049.17,1164396,61.646%,Counter-Strike: Global Offensive,2020,717803.75,49049.17,1164396,61.646%,2020
Counter-Strike: Global Offensive,2020,November,668754.58,55087.89,1037464,64.4605%,Counter-Strike: Global Offensive,2020,668754.58,55087.89,1037464,64.4605%,2020
Counter-Strike: Global Offensive,2020,October,613666.69,6816.37,943876,65.0156%,Counter-Strike: Global Offensive,2020,613666.69,6816.37,943876,65.0156%,2020
Counter-Strike: Global Offensive,2020,September,606850.32,-33107.34,977769,62.0648%,Counter-Strike: Global Offensive,2020,606850.32,-33107.34,977769,62.0648%,2020
Counter-Strike: Global Offensive,2020,August,639957.66,14056.85,925348,69.1586%,Counter-Strike: Global Offensive,2020,639957.66,14056.85,925348,69.1586%,2020
Counter-Strike: Global Offensive,2020,July,625900.81,-45746.65,857560,72.9862%,Counter-Strike: Global Offensive,2020,625900.81,-45746.65,857560,72.9862%,2020
Counter-Strike: Global Offensive,2020,June,671647.46,-97147.79,1009467,66.5349%,Counter-Strike: Global Offensive,2020,671647.46,-97147.79,1009467,66.5349%,2020
Counter-Strike: Global Offensive,2020,May,768795.25,-88808.97,1193359,64.4228%,Counter-Strike: Global Offensive,2020,768795.25,-88808.97,1193359,64.4228%,2020
Counter-Strike: Global Offensive,2020,April,857604.22,186570.94,1305714,65.6809%,Counter-Strike: Global Offensive,2020,857604.22,186570.94,1305714,65.6809%,2020
Counter-Strike: Global Offensive,2020,March,671033.29,127054.13,1145972,58.5558%,Counter-Strike: Global Offensive,2020,671033.29,127054.13,1145972,58.5558%,2020
